candidate_id,candidate_name,java_score,dotnet_score,data_engineering_score,recommended_subject
79,Angela Spencer,92,34,38,.NET
80,Carolyn Leonard,62,62,92,Java
81,Dr. Michael Lee,17,21,49,Java
82,Bethany Jordan,89,42,48,.NET
83,Jamie Jennings,43,27,25,Data Engineering
84,Emily Lewis,33,17,93,.NET
85,David Price,73,31,32,.NET
86,Nicole Hall,61,68,19,Data Engineering
87,Jack Lee,99,53,100,.NET
88,Aaron Rojas,13,33,76,Java
89,Dr. Samantha Taylor,94,30,71,.NET
90,Stephanie Wallace,47,96,95,Java
91,James Green,14,3,81,.NET
92,Kimberly Garrett,71,13,40,.NET
93,Hannah Burns,77,14,10,Data Engineering
94,Jimmy Gilmore,86,59,54,Data Engineering
95,Gary Ellis,61,19,46,.NET
96,David Cruz,39,19,77,.NET
97,Charles Houston,84,48,49,.NET
98,Lauren Jackson,79,98,96,Java
99,Devon Green,81,67,22,Data Engineering
100,Anthony Haas,52,17,60,.NET
101,Jamie Jones,23,23,6,Data Engineering
102,Sabrina Ware,25,26,14,Data Engineering
103,Wayne Avila,88,32,78,.NET
104,Emily Case,59,63,8,Data Engineering
105,Ryan Acosta,40,24,84,.NET
106,Scott Kemp,28,68,36,Java
107,Andrea Moon,14,17,58,Java
108,Lisa Gross,44,44,27,Data Engineering
109,Michael Jones,64,19,5,Data Engineering
110,Dwayne Martinez,88,34,9,Data Engineering
111,Keith Lowery,70,5,14,.NET
112,Donna Reynolds,8,90,87,Java
113,Jamie Gonzalez,87,91,3,Data Engineering
114,Joseph Poole,0,74,98,Java
115,Andrew Lee,7,8,57,Java
116,Dustin Warner,87,51,14,Data Engineering
117,David Davis,62,27,36,.NET
118,William Patel,10,18,1,Data Engineering
119,Phillip Stevenson,80,84,46,Data Engineering
120,Steven Short,7,62,27,Java
121,Colleen Roberts,34,94,68,Java
122,Troy Fletcher,34,6,86,.NET
123,Debbie Brewer,32,36,72,Java
124,Kristopher Ingram,4,88,70,Java
125,William Richardson,40,91,67,Java
126,Angel Goodwin,27,35,18,Data Engineering
127,Amanda Le,6,16,7,Java
128,Corey Cruz,72,89,30,Data Engineering
129,Justin Cohen,71,91,13,Data Engineering
130,Randall Parker,11,36,28,Java
131,Christopher Harrison,33,80,8,Data Engineering
132,Jessica Acosta,32,59,100,Java
133,Kristin Mendez,47,48,69,Java
134,Collin Barnett,22,80,59,Java
135,Martha Carter,61,96,91,Java
136,Linda Miller,87,55,44,Data Engineering
137,Timothy Callahan,36,33,73,.NET
138,Brian Martinez,98,86,53,Data Engineering
139,Scott Edwards,43,29,44,.NET
140,Melissa Gonzalez,85,26,2,Data Engineering
141,Lisa Smith,90,50,75,.NET
142,Robert Norris,34,8,35,.NET
143,Zachary Salinas,64,19,10,Data Engineering
144,Dana Blankenship,98,86,72,Data Engineering
145,Brittany Scott,100,46,5,Data Engineering
146,Ruth Weaver,46,18,75,.NET
147,Rebecca Rubio,77,100,40,Data Engineering
148,Trevor Wiggins,2,67,71,Java
149,William Ibarra,0,76,40,Java
150,Daniel Johns,4,11,76,Java
151,James Harper,89,72,61,Data Engineering
152,Toni Riggs,13,78,8,Data Engineering
153,Shane Miller,26,84,83,Java
154,Makayla Martin,8,78,9,Java
155,Victoria Dillon,78,4,40,.NET
156,Jennifer Ray,14,68,26,Java
157,Angela Carroll,89,24,52,.NET
158,Jeffrey Miller,41,87,3,Data Engineering
159,Jessica Lopez,76,100,9,Data Engineering
160,Teresa Cole,50,30,48,.NET
161,Blake Daniels MD,62,45,18,Data Engineering
162,Christopher Fuller,95,33,73,.NET
163,Scott Burns,51,40,49,.NET
164,Daniel Tanner,95,77,47,Data Engineering
165,Samantha Davis,3,90,22,Java
166,Nicole Maldonado,93,67,99,.NET
167,Malik Nelson,100,86,8,Data Engineering
168,James Bauer,22,37,65,Java
169,Daniel Chung,14,45,18,Java
170,Stephanie Nelson,42,68,71,Java
171,Steven Beck,28,26,89,.NET
172,Patricia Glover,35,42,50,Java
173,Melissa Chase,12,77,99,Java
174,Levi Robbins,31,70,10,Data Engineering
175,Gene Johns,70,44,2,Data Engineering
176,Lisa Casey,58,17,60,.NET
177,Jessica Dunlap,85,31,93,.NET
178,Wendy Becker,27,1,81,.NET
179,Adam Johnson,65,40,16,Data Engineering
180,John Shepherd,41,19,72,.NET
181,Brandi Johnson,44,92,29,Data Engineering
182,Susan White,61,57,79,.NET
183,Karina Hardy,56,89,7,Data Engineering
184,Nancy Harris,5,37,40,Java
185,Paula Strickland,27,0,25,.NET
186,Monica Osborne,27,68,4,Data Engineering
187,Hailey Oconnor,43,53,68,Java
188,Brian Lewis,83,13,23,.NET
189,Andrew Washington,29,24,77,.NET
190,Kelly Henson,61,8,68,.NET
191,Daniel Holden,74,93,35,Data Engineering
192,Clayton Reed,91,82,88,.NET
193,Harold Elliott,88,60,16,Data Engineering
194,Edward Wilson,61,51,69,.NET
195,Erika Young,96,7,70,.NET
196,Dylan Williams,0,15,45,Java
197,Steven Jones,26,7,78,.NET
198,Joshua Wyatt,61,22,69,.NET
199,Nicole Wilson,76,72,31,Data Engineering
200,Debra Estes,2,95,59,Java
201,John Oneal,69,100,41,Data Engineering
202,Amy Gordon,71,33,39,.NET
203,Amy Grant,26,17,26,.NET
204,Joanne Edwards,8,43,4,Data Engineering
205,Ashley Clark,61,14,60,.NET
206,Daniel Hall,36,14,60,.NET
207,Michael Sutton,96,92,79,Data Engineering
208,Jennifer Baldwin,50,22,51,.NET
209,Kenneth Moore,43,86,74,Java
210,Michael Moss,23,64,88,Java
211,April Huynh,78,85,65,Data Engineering
212,Amanda Riggs,58,70,91,Java
213,Eric Moore,31,31,6,Data Engineering
214,Sonia Smith,95,91,37,Data Engineering
215,Heather Parks,87,31,50,.NET
216,Justin Watson,51,32,0,Data Engineering
217,Dale Osborne,61,42,81,.NET
218,Edwin Reilly,57,12,75,.NET
219,Antonio Shields,51,91,48,Data Engineering
220,Brianna Mathis,11,8,71,.NET
221,Joseph Thompson,38,61,19,Data Engineering
222,Marcus Stone,1,56,98,Java
223,Wesley Farley,2,47,41,Java
224,Michelle Thompson,100,42,15,Data Engineering
225,Paul Wheeler,55,66,32,Data Engineering
226,Whitney Barker,80,80,88,Java
227,Ashlee Herman,58,97,82,Java
228,Adam White,1,31,98,Java
229,Regina Lam,1,72,15,Java
230,Scott Townsend,91,59,15,Data Engineering
231,Michael White,53,0,47,.NET
232,Terry Mcconnell,86,56,88,.NET
233,Monica Stevens,100,83,95,.NET
234,Richard Williams,95,68,54,Data Engineering
235,Kevin Ellis,96,84,27,Data Engineering
236,Dr. Jill Davis MD,0,68,72,Java
237,Emily Edwards,18,67,81,Java
238,Madison Meyer,1,60,22,Java
239,Martin Watkins,52,7,29,.NET
240,Mrs. Tracy Jefferson,43,88,60,Java
241,Michael Wilson,89,6,95,.NET
242,Jose Adams,31,36,87,Java
243,Eric Hale,69,41,74,.NET
244,Alexander Armstrong,31,31,25,Data Engineering
245,Joseph Martinez,67,16,10,Data Engineering
246,Karen Rowe,54,27,19,Data Engineering
247,Francisco Jones,74,69,43,Data Engineering
248,Bryan Davis,55,47,17,Data Engineering
249,Melissa Lewis,16,53,33,Java
250,Richard George,37,41,99,Java
251,Nicole Johnson,23,35,3,Data Engineering
252,Devin Stephens,68,65,84,.NET
253,John Case,97,30,89,.NET
254,Emily Wilcox,69,64,13,Data Engineering
255,Lisa Hernandez,85,2,89,.NET
256,John Strickland,10,12,12,Java
257,Mrs. Amber Moss,15,30,89,Java
258,Jamie Garcia,96,28,40,.NET
259,Michelle Drake,72,56,78,.NET
260,Kyle Brewer,58,32,90,.NET
261,Richard Rivera,69,52,56,.NET
262,Brittney Miller,79,9,86,.NET
263,Meghan Johnson,92,62,21,Data Engineering
264,Donna Evans,2,72,9,Java
265,Kathy Young,19,64,68,Java
266,Hailey Smith,58,100,67,Java
267,Darlene Robertson,35,95,49,Java
268,Donna Duncan,18,96,99,Java
269,Evan Avila,89,1,15,.NET
270,Angel Krueger,66,1,95,.NET
271,Cassandra Moore,18,68,10,Data Engineering
272,Elizabeth Berger,19,73,96,Java
273,Lisa Lewis,95,36,98,.NET
274,Garrett Fox,70,1,67,.NET
275,Linda Ryan,51,60,86,Java
276,Michael Morrow,32,39,66,Java
277,Ricky Williams,39,62,19,Data Engineering
278,Kathy Wilson,38,24,64,.NET
279,Joshua Allen,81,37,32,Data Engineering
280,Tammy Bailey,0,36,9,Java
281,Lauren Gomez,10,81,66,Java
282,Brent Schwartz,91,26,54,.NET
283,Patrick Haynes,56,83,31,Data Engineering
284,Taylor Barton,88,49,44,Data Engineering
285,Megan Weaver,49,33,58,.NET
286,Robert Wilson,22,43,30,Java
287,Steven Hill,30,71,84,Java
288,William Chan,93,3,87,.NET
289,Danielle Turner,41,93,87,Java
290,Matthew Wilson,98,51,51,.NET
291,Alyssa Downs,6,54,9,Java
292,John Rogers,15,99,5,Data Engineering
293,Brittany Day,89,72,91,.NET
294,Ashley Franklin,59,11,0,Data Engineering
295,Jenna Hawkins,1,13,45,Java
296,Sheila Williams,0,34,73,Java
297,Gerald Lambert,47,5,29,.NET
298,Suzanne Huerta,11,46,78,Java
299,Larry Bailey,68,22,77,.NET
300,Makayla Welch,36,67,62,Java
301,Kathleen Patton,31,64,87,Java
302,Matthew Woods,8,58,62,Java
303,Benjamin Bonilla,98,8,73,.NET
304,Michael Lopez,18,57,89,Java
305,Jennifer Davis,47,47,0,Data Engineering
306,Katherine Johnson,79,62,19,Data Engineering
307,Andrea Garner,2,8,28,Java
308,Savannah Thompson,19,43,33,Java
309,Carolyn Haas,23,45,65,Java
310,Mr. Antonio Robinson Jr.,53,14,65,.NET
311,Angela Jacobs,32,87,1,Data Engineering
312,Michael Serrano,23,52,71,Java
313,Dr. John Dodson,74,47,53,.NET
314,Jennifer Gross,71,71,88,Java
315,Jeffrey Armstrong,35,91,17,Data Engineering
316,Eric Ortiz,37,41,80,Java
317,Shawna Howard,83,16,29,.NET
318,Tonya Stevens,98,34,7,Data Engineering
319,Danielle Reynolds,88,30,41,.NET
320,Dustin Patterson,98,3,28,.NET
321,Ryan Chen,24,47,50,Java
322,Travis Kelly,92,13,82,.NET
323,Roberto Clements,17,24,100,Java
324,Kimberly Cisneros,81,45,23,Data Engineering
325,Kristina Martinez,65,47,81,.NET
326,Claire Ward,53,39,9,Data Engineering
327,Richard Green,34,49,15,Data Engineering
328,Michelle Myers,79,6,49,.NET
329,David Evans,60,94,40,Data Engineering
330,James Huffman,40,59,53,Java
331,Robert Reeves,99,34,43,.NET
332,Matthew Palmer,32,62,59,Java
333,Andrew Morales,67,19,68,.NET
334,Anthony Murray,32,15,78,.NET
335,Michele Gonzalez,13,21,22,Java
336,Heather Fisher,20,35,94,Java
337,Samantha Rodriguez,47,18,93,.NET
338,Chad Young,19,1,70,.NET
339,Anthony Ross,7,67,19,Java
340,Emily Chavez,6,97,38,Java
341,Lisa Chavez DDS,66,6,2,Data Engineering
342,Brandon Kemp PhD,16,46,2,Data Engineering
343,Kevin Banks,32,48,30,Data Engineering
344,Jon Bowman,47,77,6,Data Engineering
345,Michael Jones,75,42,0,Data Engineering
346,Mark Cox,58,31,55,.NET
347,Amy Gonzalez,85,16,26,.NET
348,Paula Cruz,21,100,64,Java
349,Phillip Black,29,13,69,.NET
350,Heather Howard,37,80,83,Java
351,Adam Cohen,50,31,38,.NET
352,Christopher Morris,53,59,2,Data Engineering
353,Daniel Hudson,7,59,58,Java
354,David Rivera,26,51,1,Data Engineering
355,April Walters,26,65,46,Java
356,John Clements,97,3,95,.NET
357,Frank Fisher,20,93,19,Data Engineering
358,Ebony Clark,29,93,99,Java
359,Luke Johnson,96,62,26,Data Engineering
360,Heidi Carlson,27,32,83,Java
361,Alex Cooper,63,0,18,.NET
362,John Valdez,96,96,54,Data Engineering
363,Mark Martin,68,99,62,Data Engineering
364,Danielle Walker,60,63,84,Java
365,Julie Gonzalez,47,94,42,Data Engineering
366,Raymond Wright,18,36,83,Java
367,Shannon Edwards,3,77,4,Java
368,Samantha Harrington,34,69,19,Data Engineering
369,Shaun Thompson,63,6,75,.NET
370,Melissa Baker,48,23,60,.NET
371,Scott Brooks MD,16,67,61,Java
372,Carolyn Jones,43,54,73,Java
373,James Smith,91,88,62,Data Engineering
374,Allison Miller,29,2,21,.NET
375,Christopher Salazar,92,91,37,Data Engineering
376,Jacob Schneider,45,22,91,.NET
377,Amy Moore,5,35,11,Java
378,Lisa Berg,98,56,73,.NET
379,Danielle Ortiz,36,47,60,Java
380,Raven Collins,23,12,98,.NET
381,Heather Smith,92,60,47,Data Engineering
382,Destiny Nguyen,45,85,100,Java
383,Lisa Wilson,52,88,16,Data Engineering
384,Natasha Bruce,94,23,90,.NET
385,Daniel Cook,98,42,51,.NET
386,Jeffery Gallagher DVM,59,100,45,Data Engineering
387,Shelby Gonzalez,96,32,55,.NET
388,Krista Nicholson,62,77,28,Data Engineering
389,Rebecca Green,84,23,89,.NET
390,Christopher Bentley,31,21,72,.NET
391,Toni Adams,86,51,50,Data Engineering
392,Alfred Maynard,32,100,75,Java
393,Peter Lee,66,86,25,Data Engineering
394,Darrell Farrell DDS,17,5,96,.NET
395,Allen Bailey,24,18,95,.NET
396,Heather Horton,94,75,74,Data Engineering
397,Latoya Ball,53,89,28,Data Engineering
398,Steven Everett,57,28,58,.NET
399,Lacey Fox,66,63,7,Data Engineering
400,Matthew Charles,45,13,24,.NET
401,Nicole Frye,23,80,83,Java
402,Cheyenne Espinoza,31,29,20,Data Engineering
403,Mrs. Jamie Cruz DDS,46,70,3,Data Engineering
404,Linda Patel,85,20,35,.NET
405,Christopher Martin,22,64,42,Java
406,Donald Espinoza,65,3,92,.NET
407,Linda Steele,26,45,82,Java
408,Jennifer Anderson,1,7,25,Java
409,Christopher Miller,89,17,35,.NET
410,Mark Jacobs,16,59,88,Java
411,Anthony Houston,32,44,22,Data Engineering
412,Casey Reynolds MD,8,71,91,Java
413,Carlos Campbell DVM,42,94,40,Data Engineering
414,Stephen Mckee,47,30,74,.NET
415,Adam Robinson,38,27,92,.NET
416,Lauren Brown,92,63,43,Data Engineering
417,Cheryl Green,41,36,49,.NET
418,Andrea Patel,25,66,83,Java
419,Angela Hoffman,98,78,8,Data Engineering
420,Zachary Mendez,49,67,87,Java
421,Terry Sherman,24,34,46,Java
422,Adam Herman,23,97,40,Java
423,Tamara Petersen,12,35,12,Java
424,Michelle Wright,59,56,57,.NET
425,Theresa Moore,6,69,65,Java
426,Richard Roberson,56,3,80,.NET
427,Yvonne Morris,35,48,57,Java
428,Ruben Armstrong,44,93,90,Java
429,Steven Williams,19,38,65,Java
430,Rachel Coleman,64,17,32,.NET
431,Tracy Wright,7,59,68,Java
432,Hannah Gonzalez,15,85,77,Java
433,Karina Martinez,13,9,26,.NET
434,Linda Wallace,75,92,49,Data Engineering
435,Brady Ferguson,86,22,58,.NET
436,Jason Rodriguez,14,67,99,Java
437,Roger Wade,91,58,90,.NET
438,Angela Jones,97,82,77,Data Engineering
439,Jennifer Lawrence,65,89,78,Java
440,Carlos Jones,31,6,26,.NET
441,Samantha Jones,86,12,58,.NET
442,Angela Klein,62,2,55,.NET
443,Michael Carter,85,39,71,.NET
444,Scott Butler,50,10,84,.NET
445,Jenna Campbell,24,79,33,Java
446,Bonnie Travis DVM,57,83,48,Data Engineering
447,Christopher Olson,62,50,91,.NET
448,Tara Kelly,61,86,87,Java
449,Antonio Campbell,21,22,16,Data Engineering
450,Laura Reed,57,31,69,.NET
451,Cassidy Cooley,57,40,37,Data Engineering
452,Lucas Murphy,85,41,82,.NET
453,Martin Caldwell,48,37,0,Data Engineering
454,Morgan Salas,51,66,37,Data Engineering
455,Tracy Jackson,41,71,25,Data Engineering
456,Robin Bishop,69,77,68,Data Engineering
457,Michael Henderson,14,71,67,Java
458,Richard Vasquez,53,74,24,Data Engineering
459,Gregory Miles,59,41,57,.NET
460,Joe Reynolds,100,42,44,.NET
461,Melinda Gross,96,32,21,Data Engineering
462,Richard Torres,7,78,47,Java
463,Ryan Miller,52,36,12,Data Engineering
464,Robert Lloyd,59,77,86,Java
465,Caitlin Vincent,4,89,96,Java
466,Mandy Dean,67,56,24,Data Engineering
467,Michael Moreno,5,63,9,Java
468,Janet Green,95,63,17,Data Engineering
469,Clayton Hudson,93,59,54,Data Engineering
470,Connor Marshall,46,51,26,Data Engineering
471,Ethan Bryant,98,71,55,Data Engineering
472,Christine Webb,54,67,55,Java
473,Michelle Mcbride,39,99,48,Java
474,Bailey May,51,81,25,Data Engineering
475,Danielle Guerrero,15,26,1,Data Engineering
476,Eric Powell,12,58,73,Java
477,Terry Dunn,29,18,59,.NET
478,Nicole Williams,18,2,83,.NET
479,Crystal Arnold,16,72,37,Java
480,Parker Peterson,62,38,2,Data Engineering
481,Matthew Powell,18,65,73,Java
482,Jason Rodriguez,91,72,91,.NET
483,Brittney Jackson,57,55,82,.NET
484,Eric Reed,54,5,80,.NET
485,Samantha Smith,89,27,52,.NET
486,Loretta Jensen,100,47,43,Data Engineering
487,Paul Phillips,89,97,22,Data Engineering
488,Alicia Turner,61,92,27,Data Engineering
489,Steven Vaughn,22,47,90,Java
490,Robert Brooks DDS,8,66,31,Java
491,Courtney Stone,11,53,75,Java
492,Melissa Baker,0,15,19,Java
493,Brian Perez,57,34,5,Data Engineering
494,Jamie Rodriguez,0,74,2,Java
495,Jennifer Robinson,33,86,2,Data Engineering
496,Alexandra Ramsey,95,29,22,Data Engineering
497,James Briggs,47,47,72,Java
498,Kirk Rodriguez,88,68,32,Data Engineering
499,Manuel Jones,0,7,35,Java
500,Anna Baker,15,50,63,Java
501,Jessica Serrano,60,9,11,.NET
502,Marcus Jackson,63,27,61,.NET
503,Alex Mason,62,35,25,Data Engineering
504,Theresa Buchanan,68,59,36,Data Engineering
505,Jessica Garcia,21,9,47,.NET
506,Luke Moon,92,13,73,.NET
507,Wanda Young,66,62,43,Data Engineering
508,Lisa Harris,75,100,10,Data Engineering
509,Christopher Roberson,25,46,82,Java
510,Elizabeth Clay,15,68,68,Java
511,Nathan Yates,50,55,23,Data Engineering
512,Diana Roberts,100,5,98,.NET
513,Gina Harris,85,93,91,Java
514,Michael Wilson,56,18,93,.NET
515,Julie Perry,28,51,18,Data Engineering
516,Rachel Dunn,77,61,69,.NET
517,George Lewis,91,48,55,.NET
518,Brian Myers,68,77,48,Data Engineering
519,Thomas Lucas,46,10,82,.NET
520,Douglas Harper,93,45,56,.NET
521,Megan Fuller,61,68,94,Java
522,Renee Perez,68,44,10,Data Engineering
523,Kelly Pittman,75,94,62,Data Engineering
524,Mr. Cameron Diaz,15,57,80,Java
525,Rebecca Cline,89,31,16,Data Engineering
526,Christopher Miller,89,87,14,Data Engineering
527,Dr. Nancy Guzman DDS,47,9,69,.NET
528,Gabriela Medina,84,12,61,.NET
529,Amanda Rice,38,12,31,.NET
530,Casey Clark,99,35,39,.NET
531,Anthony Kennedy,32,85,10,Data Engineering
532,Kelly Mays,93,72,12,Data Engineering
533,Daniel Sexton,100,18,80,.NET
534,Travis Burnett,22,6,27,.NET
535,William Schneider,9,14,81,Java
536,Adrian Chavez,68,80,27,Data Engineering
537,Aaron Mcintosh,99,45,47,.NET
538,Pamela Allen,33,77,54,Java
539,Jeffrey Blake,51,47,15,Data Engineering
540,Christopher Macdonald,94,65,35,Data Engineering
541,Lindsay Contreras,9,77,39,Java
542,Michele Miller,18,3,19,.NET
543,Johnny Johnson,57,2,90,.NET
544,Tony Williams,95,2,96,.NET
545,Christopher Carter DVM,0,74,1,Java
546,Mario Anderson,68,68,76,Java
547,Alexis Hebert,3,92,1,Data Engineering
548,Elizabeth Taylor,15,27,100,Java
549,Travis Mcguire,23,22,68,.NET
550,Kimberly Whitney,79,29,69,.NET
551,Jeremy Phillips,1,61,49,Java
552,David White,91,86,95,.NET
553,Richard Miller,31,50,47,Java
554,Derrick Pearson,90,40,23,Data Engineering
555,William Nguyen,83,85,80,Data Engineering
556,Thomas Rodgers,23,63,8,Data Engineering
557,Adam Walker,11,42,39,Java
558,Zachary Callahan,49,75,39,Data Engineering
559,Todd Smith,34,90,1,Data Engineering
560,Eric Martinez,32,57,72,Java
561,Edward Cruz,32,58,5,Data Engineering
562,Matthew Freeman,60,39,18,Data Engineering
563,Amanda Coleman,50,45,96,.NET
564,Ashley Campos,42,61,18,Data Engineering
565,Mark Lozano,100,48,32,Data Engineering
566,Christopher Burke,11,78,60,Java
567,Vickie Smith,66,22,29,.NET
568,Chad Gonzalez,64,43,61,.NET
569,Jason Ruiz,32,43,12,Data Engineering
570,Christine Anderson,39,18,17,Data Engineering
571,Bryan Cunningham,73,43,1,Data Engineering
572,Sandy Robinson,42,10,2,Data Engineering
573,Jeanne Sanders,43,59,5,Data Engineering
574,Justin Craig,28,37,27,Data Engineering
575,Sarah Richards,12,2,76,.NET
576,Douglas Holloway,11,15,83,Java
577,Steven Young,94,95,31,Data Engineering
578,Cheryl Pugh,45,8,59,.NET
579,Debbie Campbell,1,40,30,Java
580,Misty Stone,34,37,60,Java
581,Jasmine Holmes,86,68,8,Data Engineering
582,Harold Blair,80,64,66,.NET
583,Andrew Webb,89,34,53,.NET
584,Daniel Stewart,7,34,94,Java
585,Danielle Wilson,92,75,78,.NET
586,Michael Martinez,25,99,67,Java
587,Tara Holland,73,84,16,Data Engineering
588,Stacy Norman,89,47,58,.NET
589,April Bowman,33,7,30,.NET
590,Sean Hernandez,6,26,92,Java
591,Jason Hunter DDS,67,8,74,.NET
592,Derrick Taylor,57,91,60,Java
593,Joseph Barrett,74,29,95,.NET
594,Leah Hanson,28,13,39,.NET
595,John Campbell,35,22,2,Data Engineering
596,Christopher Dunn,88,28,49,.NET
597,Whitney Lopez,20,25,0,Data Engineering
598,Ryan Miles,35,85,7,Data Engineering
599,Michelle Mueller,9,14,61,Java
600,Edward Cox,100,72,63,Data Engineering
601,Tammy Parks,72,89,40,Data Engineering
602,Anthony Johnson,23,80,16,Data Engineering
603,Mary Thomas,63,72,71,Java
604,Kimberly Wilkins MD,98,66,42,Data Engineering
605,Allison Young,48,15,96,.NET
606,Anne Glass,98,12,89,.NET
607,Paul Baxter,35,89,1,Data Engineering
608,Tammy Hanson,81,80,46,Data Engineering
609,Jennifer Mueller,95,95,59,Data Engineering
610,Margaret Wright,23,23,48,Java
611,Cheryl Wallace,22,61,92,Java
612,Mary Maynard,61,56,14,Data Engineering
613,Melanie Miller,95,35,93,.NET
614,Jessica Hall,36,59,49,Java
615,Keith Bradshaw,11,85,45,Java
616,Michael Powell,54,72,75,Java
617,Melinda Barrett,12,21,1,Data Engineering
618,James Craig,22,83,84,Java
619,Natasha Schmidt,88,2,28,.NET
620,Samantha Livingston,98,35,28,Data Engineering
621,Dustin Holmes,29,96,79,Java
622,Julie Rubio,16,81,94,Java
623,Kristine Robinson,61,35,60,.NET
624,Tammy Simmons,83,9,96,.NET
625,Teresa James,88,99,65,Data Engineering
626,Samantha Morales,85,20,43,.NET
627,Ashley Williams,12,88,3,Data Engineering
628,Dawn Deleon,58,48,38,Data Engineering
629,Heather Delgado,18,8,59,.NET
630,Jessica Mercado,48,90,48,Java
631,Joseph Gomez,99,78,4,Data Engineering
632,Nicole Mitchell,11,51,65,Java
633,Joseph Harris,60,95,44,Data Engineering
634,Scott Moore,18,47,59,Java
635,Dennis Williams,75,59,7,Data Engineering
636,Christopher Evans,8,49,49,Java
637,Guy Velazquez,70,38,35,Data Engineering
638,Misty Cox,27,15,69,.NET
639,Donald Johnson,77,27,40,.NET
640,Mrs. Destiny Payne,94,5,9,.NET
641,Andrea Walter,51,60,35,Data Engineering
642,William Thompson,82,5,67,.NET
643,Roger Craig,15,65,13,Data Engineering
644,Todd Cochran,68,39,75,.NET
645,Andrew Zimmerman,98,70,16,Data Engineering
646,Caitlyn Richard,11,90,20,Java
647,Valerie Johnson,24,61,76,Java
648,Valerie Buchanan,51,27,96,.NET
649,Christopher Holmes,84,79,53,Data Engineering
650,William Bruce,99,46,12,Data Engineering
651,Kristy Aguilar,52,8,47,.NET
652,Paula Howard,22,51,44,Java
653,Christine Shepherd,15,14,8,Data Engineering
654,Elizabeth Patterson,56,33,54,.NET
655,Jonathan Miller,38,19,49,.NET
656,Richard Garcia,52,77,19,Data Engineering
657,Jennifer Kelley,41,59,39,Data Engineering
658,Justin Rowe,57,57,0,Data Engineering
659,Greg Mitchell,38,74,76,Java
